Engine Size(L),Cylinders,Fuel Consumption Comb (L/100 km),CO2 Emissions(g/km),,Vehicle Class
1.4,4,7.5,173,,COMPACT
1.8,4,8.3,191,,COMPACT
1.8,4,7.9,182,,COMPACT
1.4,4,8.3,191,,COMPACT
1.4,4,8,184,,COMPACT
1.4,4,8,184,,MID-SIZE
1.4,4,7.5,172,,MID-SIZE
1.8,4,8.3,191,,MID-SIZE
1.8,4,7.9,182,,MID-SIZE
1.4,4,8.3,191,,MID-SIZE
1.4,4,8,184,,MID-SIZE
1.2,4,6.9,159,,SUBCOMPACT
1.2,4,6.9,159,,SUBCOMPACT
5.3,8,13.8,317,,SUV - STANDARD
5.3,8,18.4,294,,SUV - STANDARD
5.3,8,13.8,317,,SUV - STANDARD
5.3,8,18.4,294,,SUV - STANDARD
5.3,8,13.8,317,,SUV - STANDARD
5.3,8,18.4,294,,SUV - STANDARD
5.3,8,13.8,317,,SUV - STANDARD
5.3,8,18.4,294,,SUV - STANDARD
3.6,6,12.3,283,,SUV - STANDARD
3.6,6,12.6,290,,SUV - STANDARD
1.4,4,8.4,193,,SUV - SMALL
1.4,4,8.1,186,,SUV - SMALL
1.4,4,9,207,,SUV - SMALL
3.6,6,10.3,237,,FULL-SIZE
2.4,4,10.1,232,,COMPACT
2.4,4,10.7,246,,COMPACT
3.6,6,10.5,242,,COMPACT
3.6,6,14.4,230,,COMPACT
2.4,4,9.8,225,,MID-SIZE
2.4,4,10,230,,MID-SIZE
3.6,6,10.5,242,,MID-SIZE
3.6,6,14.4,230,,MID-SIZE
5.7,8,12.8,294,,FULL-SIZE
3.6,6,10.9,251,,FULL-SIZE
5.7,8,13.4,308,,FULL-SIZE
3.6,6,10.9,251,,FULL-SIZE
3.6,6,14.8,237,,FULL-SIZE
3.6,6,10.3,237,,FULL-SIZE
3.6,6,13.9,222,,FULL-SIZE
6.4,8,13.8,317,,FULL-SIZE
3.6,6,12,276,,MINIVAN
3.6,6,16.8,269,,MINIVAN
2.4,4,9.8,225,,MID-SIZE
2.4,4,10,230,,MID-SIZE
3.6,6,10.5,242,,MID-SIZE
3.6,6,14.4,230,,MID-SIZE
3.6,6,11.2,258,,MID-SIZE
5.7,8,13.1,301,,MID-SIZE
5.7,8,12.8,294,,MID-SIZE
6.4,8,13.9,320,,MID-SIZE
6.4,8,13.8,317,,MID-SIZE
3.6,6,11.2,258,,FULL-SIZE
3.6,6,10.3,237,,FULL-SIZE
5.7,8,12.8,294,,FULL-SIZE
3.6,6,10.9,251,,FULL-SIZE
5.7,8,13.4,308,,FULL-SIZE
3.6,6,10.9,251,,FULL-SIZE
3.6,6,14.8,237,,FULL-SIZE
3.6,6,11.2,258,,FULL-SIZE
3.6,6,15.7,251,,FULL-SIZE
3.6,6,10.2,235,,FULL-SIZE
3.6,6,13.9,222,,FULL-SIZE
6.4,8,13.8,317,,FULL-SIZE
2,4,8.1,186,,MID-SIZE
2.4,4,8.6,198,,MID-SIZE
2.4,4,8.8,202,,MID-SIZE
2,4,8.6,198,,MID-SIZE
2,4,12.2,195,,MID-SIZE
2.4,4,9.2,212,,MID-SIZE
2.4,4,8.8,202,,MID-SIZE
1.4,4,7.3,168,,MID-SIZE
1.4,4,7.3,168,,MID-SIZE
5.7,8,14.4,331,,SUV - STANDARD
3.6,6,12.1,278,,SUV - STANDARD
3.6,6,15.6,250,,SUV - STANDARD
3.6,6,11.8,271,,MINIVAN
3.6,6,16.5,264,,MINIVAN
2.4,4,11.1,255,,SUV - SMALL
3.6,6,12.4,285,,SUV - SMALL
3.6,6,12,276,,SUV - SMALL
3.6,6,16.2,259,,SUV - SMALL
1.4,4,7.8,179,,MINICOMPACT
1.4,4,7.8,179,,MINICOMPACT
1.4,4,7.9,182,,MINICOMPACT
1.4,4,7.2,166,,MINICOMPACT
1.4,4,7.8,179,,MINICOMPACT
1.4,4,7.9,182,,MINICOMPACT
1.4,4,6.8,156,,MINICOMPACT
1.4,4,7.8,179,,MINICOMPACT
1.4,4,8.7,200,,STATION WAGON - SMALL
1.4,4,8.4,193,,STATION WAGON - SMALL
2,4,6,138,,FULL-SIZE
4.6,8,16.2,373,,VAN - CARGO
4.6,8,21.9,350,,VAN - CARGO
5.4,8,17.2,396,,VAN - CARGO
5.4,8,22.5,360,,VAN - CARGO
4.6,8,16.8,386,,VAN - PASSENGER
4.6,8,23,368,,VAN - PASSENGER
6.8,10,21.2,488,,VAN - PASSENGER
5.4,8,18.3,421,,VAN - PASSENGER
5.4,8,23.9,382,,VAN - PASSENGER
2,4,9.8,225,,SUV - SMALL
3.5,6,10.8,248,,SUV - SMALL
3.5,6,11.5,264,,SUV - SMALL
3.7,6,12.2,281,,SUV - SMALL
1.6,4,9.1,209,,SUV - SMALL
2,4,9.6,221,,SUV - SMALL
2.5,4,9.4,216,,SUV - SMALL
1.6,4,9.3,214,,SUV - SMALL
2,4,10,230,,SUV - SMALL
5.4,8,16,368,,SUV - STANDARD
5.4,8,21.6,346,,SUV - STANDARD
2,4,10.2,235,,SUV - STANDARD
3.5,6,13,299,,SUV - STANDARD
3.5,6,11.9,274,,SUV - STANDARD
3.5,6,15.9,254,,SUV - STANDARD
3.5,6,12.5,288,,SUV - STANDARD
3.5,6,16.7,267,,SUV - STANDARD
3.5,6,12.7,292,,PICKUP TRUCK - STANDARD
3.5,6,12.8,294,,PICKUP TRUCK - STANDARD
6.2,8,15.9,366,,PICKUP TRUCK - STANDARD
3.5,6,13.8,317,,PICKUP TRUCK - STANDARD
3.5,6,13.4,308,,PICKUP TRUCK - STANDARD
6.2,8,17.5,402,,PICKUP TRUCK - STANDARD
3.7,6,12.3,283,,PICKUP TRUCK - STANDARD
3.7,6,16.5,264,,PICKUP TRUCK - STANDARD
3.7,6,12.3,283,,PICKUP TRUCK - STANDARD
3.7,6,16.5,264,,PICKUP TRUCK - STANDARD
5,8,14.6,336,,PICKUP TRUCK - STANDARD
5,8,19.7,315,,PICKUP TRUCK - STANDARD
5,8,14.6,336,,PICKUP TRUCK - STANDARD
5,8,19.7,315,,PICKUP TRUCK - STANDARD
3.7,6,13.4,308,,PICKUP TRUCK - STANDARD
3.7,6,18,288,,PICKUP TRUCK - STANDARD
3.7,6,13.4,308,,PICKUP TRUCK - STANDARD
3.7,6,18,288,,PICKUP TRUCK - STANDARD
5,8,14.9,343,,PICKUP TRUCK - STANDARD
5,8,20,320,,PICKUP TRUCK - STANDARD
5,8,14.8,340,,PICKUP TRUCK - STANDARD
5,8,19.9,318,,PICKUP TRUCK - STANDARD
6.2,8,18,414,,PICKUP TRUCK - STANDARD
1.6,4,7.6,175,,SUBCOMPACT
1.6,4,7.6,175,,SUBCOMPACT
1,4,6.6,152,,SUBCOMPACT
1.6,4,7,161,,SUBCOMPACT
1.6,4,8,184,,COMPACT
3.5,6,11.5,264,,SUV - STANDARD
3.5,6,12.1,278,,SUV - STANDARD
3.5,6,12.8,294,,SUV - STANDARD
2,4,8.9,205,,COMPACT
2,4,7.7,177,,COMPACT
2,4,10.3,165,,COMPACT
2,4,7.8,179,,COMPACT
2,4,10.3,165,,COMPACT
2,4,8,184,,COMPACT
2,4,10.6,170,,COMPACT
2,4,7.2,166,,COMPACT
2,4,10.1,162,,COMPACT
1.5,4,8.5,196,,MID-SIZE
1.6,4,8.1,186,,MID-SIZE
2,4,9,207,,MID-SIZE
2.5,4,8.9,205,,MID-SIZE
1.5,4,8.1,186,,MID-SIZE
2,4,9.4,216,,MID-SIZE
2,4,5.5,126,,MID-SIZE
3.7,6,10.2,235,,SUBCOMPACT
3.7,6,10.6,244,,SUBCOMPACT
5,8,11.5,264,,SUBCOMPACT
5,8,12.7,292,,SUBCOMPACT
5.8,8,13.2,304,,SUBCOMPACT
3.7,6,10.6,244,,SUBCOMPACT
2,4,9.1,209,,FULL-SIZE
3.5,6,11.8,271,,FULL-SIZE
3.5,6,10.3,237,,FULL-SIZE
3.5,6,14.3,229,,FULL-SIZE
3.5,6,11.2,258,,FULL-SIZE
3.5,6,15.7,251,,FULL-SIZE
1.6,4,9.5,218,,SPECIAL PURPOSE VEHICLE
2.5,4,9.9,228,,SPECIAL PURPOSE VEHICLE
1.6,4,10.1,232,,SPECIAL PURPOSE VEHICLE
2.5,4,10.4,239,,SPECIAL PURPOSE VEHICLE
3.6,6,12.3,283,,SUV - STANDARD
3.6,6,12.9,297,,SUV - STANDARD
4.3,6,15.1,347,,VAN - CARGO
5.3,8,15.9,366,,VAN - CARGO
5.3,8,20.9,334,,VAN - CARGO
5.3,8,16.5,380,,VAN - CARGO
5.3,8,21.5,344,,VAN - CARGO
5.3,8,16.5,380,,VAN - CARGO
5.3,8,21.5,344,,VAN - CARGO
5.3,8,16.5,380,,VAN - CARGO
5.3,8,22.6,362,,VAN - CARGO
5.3,8,16.5,380,,VAN - PASSENGER
5.3,8,21.5,344,,VAN - PASSENGER
5.3,8,16.5,380,,VAN - PASSENGER
5.3,8,22.6,362,,VAN - PASSENGER
4.8,8,18,414,,VAN - PASSENGER
6,8,18.8,432,,VAN - PASSENGER
6,8,25.7,411,,VAN - PASSENGER
4.8,8,18.2,419,,VAN - PASSENGER
6,8,18.9,435,,VAN - PASSENGER
6,8,25.8,413,,VAN - PASSENGER
4.3,6,11.8,271,,PICKUP TRUCK - STANDARD
4.3,6,16.8,269,,PICKUP TRUCK - STANDARD
5.3,8,12.7,292,,PICKUP TRUCK - STANDARD
5.3,8,16.9,270,,PICKUP TRUCK - STANDARD
6.2,8,14.1,324,,PICKUP TRUCK - STANDARD
4.3,6,12.6,290,,PICKUP TRUCK - STANDARD
4.3,6,17.8,285,,PICKUP TRUCK - STANDARD
5.3,8,13,299,,PICKUP TRUCK - STANDARD
5.3,8,17.3,277,,PICKUP TRUCK - STANDARD
6.2,8,14.3,329,,PICKUP TRUCK - STANDARD
2.4,4,9.1,209,,SUV - SMALL
3.6,6,12,276,,SUV - SMALL
3.6,6,16.2,259,,SUV - SMALL
2.4,4,10,230,,SUV - SMALL
3.6,6,12.6,290,,SUV - SMALL
3.6,6,17,272,,SUV - SMALL
5.3,8,13.8,317,,SUV - STANDARD
5.3,8,18.4,294,,SUV - STANDARD
5.3,8,13.8,317,,SUV - STANDARD
5.3,8,18.4,294,,SUV - STANDARD
6.2,8,14.7,338,,SUV - STANDARD
6.2,8,20.1,322,,SUV - STANDARD
6.2,8,16.4,377,,SUV - STANDARD
6.2,8,22.1,354,,SUV - STANDARD
5.3,8,13.8,317,,SUV - STANDARD
5.3,8,18.4,294,,SUV - STANDARD
5.3,8,13.8,317,,SUV - STANDARD
5.3,8,18.4,294,,SUV - STANDARD
2.4,4,7.9,182,,MID-SIZE
2.4,4,8.1,186,,MID-SIZE
2.4,4,8.7,200,,MID-SIZE
3.5,6,9.1,209,,MID-SIZE
3.5,6,9.6,221,,MID-SIZE
3.5,6,10.9,251,,MID-SIZE
2,4,4.8,110,,MID-SIZE
1.8,4,7,161,,COMPACT
1.8,4,7.2,166,,COMPACT
1.8,4,7.6,175,,COMPACT
3.5,6,10.7,246,,SUV - SMALL
2.4,4,9.1,209,,SUV - SMALL
2.4,4,9.4,216,,SUV - SMALL
1.5,4,6.3,145,,TWO-SEATER
1.5,4,6.9,159,,TWO-SEATER
1.5,4,7.5,172,,STATION WAGON - SMALL
1.5,4,7.7,177,,STATION WAGON - SMALL
3.5,6,10.6,244,,MINIVAN
3.5,6,11.5,265,,SUV - SMALL
3.5,6,12,276,,SUV - SMALL
3.5,6,13.4,308,,PICKUP TRUCK - STANDARD
1.6,4,7.7,177,,COMPACT
1.6,4,7.7,177,,COMPACT
2,4,8.6,198,,MID-SIZE
2,4,8.5,196,,MID-SIZE
5,8,13.2,304,,FULL-SIZE
3.8,6,11.1,255,,FULL-SIZE
3.3,6,11.2,258,,SUV - SMALL
3.3,6,11.6,267,,SUV - SMALL
2.4,4,10.3,237,,SUV - SMALL
2,4,11.5,264,,SUV - SMALL
2.4,4,11.1,255,,SUV - SMALL
2,4,9.6,221,,FULL-SIZE
2.4,4,8.5,196,,FULL-SIZE
2.4,4,6.2,143,,MID-SIZE
2.4,4,6.3,145,,MID-SIZE
2,4,9.3,214,,SUV - SMALL
2,4,10.1,232,,SUV - SMALL
2.4,4,10,230,,SUV - SMALL
2,4,10.5,242,,SUV - SMALL
2.4,4,10.6,244,,SUV - SMALL
1.6,4,7.7,177,,COMPACT
1.6,4,8,184,,COMPACT
1.6,4,8.8,202,,COMPACT
1.6,4,8.5,196,,COMPACT
3.7,6,10.2,235,,MID-SIZE
3.7,6,10.8,248,,MID-SIZE
3.5,6,7.5,172,,COMPACT
3.5,6,8.2,189,,COMPACT
3.7,6,11.5,265,,SUBCOMPACT
3.7,6,11.7,269,,SUBCOMPACT
3.7,6,12.3,283,,SUBCOMPACT
3.7,6,11.1,255,,SUBCOMPACT
3.7,6,11.6,267,,SUBCOMPACT
3.7,6,11,253,,MID-SIZE
5.6,8,12.3,283,,MID-SIZE
3.7,6,11.6,267,,MID-SIZE
5.6,8,12.8,294,,MID-SIZE
3.5,6,7.6,175,,MID-SIZE
3.7,6,11.8,271,,STATION WAGON - SMALL
3.5,6,10.6,244,,SUV - SMALL
3.5,6,11,253,,SUV - SMALL
2.5,4,8.5,196,,SUV - STANDARD
3.7,6,12.8,294,,SUV - SMALL
5,8,14.5,334,,SUV - SMALL
5.6,8,15,345,,SUV - STANDARD
3,6,10.3,237,,TWO-SEATER
3,6,10.6,244,,TWO-SEATER
5,8,12.8,294,,TWO-SEATER
2,4,10.5,242,,MID-SIZE
3,6,12.2,281,,MID-SIZE
5,8,13.3,306,,MID-SIZE
5,8,18.1,290,,MID-SIZE
5,8,13.3,306,,MID-SIZE
3,6,12.4,285,,FULL-SIZE
5,8,13.3,306,,FULL-SIZE
5,8,17.5,280,,FULL-SIZE
3,6,12.4,285,,FULL-SIZE
5,8,13.3,306,,FULL-SIZE
5,8,17.5,280,,FULL-SIZE
5,8,13.3,306,,FULL-SIZE
5,8,13.3,306,,FULL-SIZE
5,8,13.1,301,,MINICOMPACT
5,8,12.6,290,,MINICOMPACT
5,8,13.7,315,,MINICOMPACT
5,8,13.5,310,,MINICOMPACT
5,8,13.7,315,,MINICOMPACT
5,8,13.5,310,,MINICOMPACT
2.4,4,9.5,218,,SUV - SMALL
3.2,6,10.5,242,,SUV - SMALL
2.4,4,10,230,,SUV - SMALL
3.2,6,10.8,248,,SUV - SMALL
2.4,4,10.1,232,,SUV - SMALL
3.2,6,11,253,,SUV - SMALL
2.4,4,10.9,251,,SUV - SMALL
3.2,6,11.6,267,,SUV - SMALL
2,4,9.9,228,,SUV - SMALL
2,4,9.8,225,,SUV - SMALL
2,4,9.1,209,,SUV - SMALL
2.4,4,9.8,225,,SUV - SMALL
2.4,4,9.4,216,,SUV - SMALL
2.4,4,10.2,235,,SUV - SMALL
2.4,4,9.4,216,,SUV - SMALL
2.4,4,11.1,255,,SUV - SMALL
5.7,8,14.8,340,,SUV - STANDARD
3,6,9.9,267,,SUV - STANDARD
3.6,6,12.1,278,,SUV - STANDARD
3.6,6,15.6,250,,SUV - STANDARD
6.4,8,15.8,363,,SUV - STANDARD
2,4,9.9,228,,SUV - SMALL
2,4,9.8,225,,SUV - SMALL
2,4,9.1,209,,SUV - SMALL
2.4,4,9.8,225,,SUV - SMALL
2.4,4,9.4,216,,SUV - SMALL
2.4,4,10.2,235,,SUV - SMALL
2.4,4,9.4,216,,SUV - SMALL
2.4,4,11.1,255,,SUV - SMALL
3.6,6,12.8,294,,SUV - SMALL
3.6,6,12.8,294,,SUV - SMALL
3.6,6,13.4,308,,SUV - SMALL
3.6,6,13.4,308,,SUV - SMALL
3.3,6,10.9,251,,FULL-SIZE
1.8,4,8.3,191,,MID-SIZE
1.8,4,8,184,,MID-SIZE
2,4,8.4,193,,MID-SIZE
2,4,8.4,193,,MID-SIZE
1.6,4,9.7,223,,FULL-SIZE
1.6,4,9.8,225,,FULL-SIZE
2,4,8.4,193,,FULL-SIZE
2,4,8.5,196,,FULL-SIZE
1.6,4,9.4,216,,COMPACT
1.6,4,9.6,221,,COMPACT
2,4,8.4,193,,COMPACT
2,4,8.6,198,,COMPACT
2,4,9.9,228,,MID-SIZE
2.4,4,8.7,200,,MID-SIZE
2.4,4,6.2,143,,MID-SIZE
2.4,4,6.4,147,,MID-SIZE
1.6,4,7.6,175,,COMPACT
1.6,4,7.7,177,,COMPACT
1.6,4,7.6,175,,COMPACT
2,4,9.2,212,,STATION WAGON - MID-SIZE
2,4,9.3,214,,STATION WAGON - MID-SIZE
3.5,6,12,276,,MINIVAN
2.4,4,10.3,237,,SUV - SMALL
3.3,6,11.4,262,,SUV - SMALL
2.4,4,11,253,,SUV - SMALL
3.3,6,11.8,271,,SUV - SMALL
1.6,4,8.9,205,,STATION WAGON - SMALL
1.6,4,9,207,,STATION WAGON - SMALL
2,4,9.1,209,,STATION WAGON - SMALL
2,4,8.8,202,,STATION WAGON - SMALL
2.4,4,10,230,,SUV - SMALL
2.4,4,11.3,260,,SUV - SMALL
2,4,11.4,262,,SUV - SMALL
2.4,4,10.7,246,,SUV - SMALL
6.5,12,18.3,421,,TWO-SEATER
5.2,10,15.7,361,,TWO-SEATER
5.2,10,17.4,400,,TWO-SEATER
2,4,11.9,274,,SUV - SMALL
3,6,14.5,334,,SUV - STANDARD
2,4,9.8,225,,SUV - SMALL
2,4,9.8,225,,SUV - SMALL
5,8,15.4,354,,SUV - STANDARD
